Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0025949,1.6653E-16,0.003175,0,0,0,2.8701,0.019918,2.8362E-18,-8.9312E-19,0.042638,2.3214E-19,0.061874,0,0,0,0,0,0,package://urdf_Myool/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_Myool/meshes/base_link.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Right,-5.5511E-17,-0.021778,-6.245E-17,0,0,0,0.84556,0.001557,1.5045E-19,3.8952E-11,0.0028888,2.8717E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Front_Right.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Front_Right.STL,,Link6-1,Origin_Front_Right_Wheel,Axis_Front_Right_Wheel,Front_Right_Wheel,continuous,0.14829,-0.21561,0.003175,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Front_Left,-1.1102E-16,0.021778,9.7145E-17,0,0,0,0.84556,0.001557,1.0002E-18,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Front_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Front_Left.STL,,Link9-1,Origin_Front_Left_Wheel,Axis_Front_Left_Wheel,Front_Left_Wheel,continuous,0.14829,0.21561,0.003175,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
Back_Right,2.0751E-17,-0.0031974,-1.9429E-16,0,0,0,0.32911,0.00015526,1.4693E-20,-1.0156E-19,0.0020318,3.1039E-21,0.0018788,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right.STL,,Link2-2,Origin_Back_Right_Rocker,Axis_Back_Right_Rocker,Back_Right_Rocker,continuous,-0.15651,-0.20097,0.003175,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Back_Right_Rear,-1.3878E-17,-0.021778,-6.9389E-18,0,0,0,0.84556,0.001557,1.1E-09,2.7521E-11,0.0028888,2.6527E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right_Rear.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right_Rear.STL,,Link4-1,Origin_Back_Right_Rear_Wheel,Axis_Back_Right_Rear_Wheel,Back_Right_Rear_Wheel,continuous,-0.1016,-0.01465,0,0,0,0,Back_Right,0,1,0,,,,,,,,,,,,
Back_Right_Center,-1.3878E-17,-0.021778,-2.0817E-17,0,0,0,0.84556,0.001557,1.1E-09,2.7521E-11,0.0028888,2.6527E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right_Center.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Right_Center.STL,,Link5-1,Origin_Back_Right_Center_Wjeel,Axis_Back_Right_Center_Wjeel,Back_Right_Center_Wjeel,continuous,0.1016,-0.01465,0,0,0,0,Back_Right,0,1,0,,,,,,,,,,,,
Back_Left,4.3031E-17,0.0031526,-1.9429E-16,0,0,0,0.32911,0.00015526,2.7911E-22,-9.9897E-20,0.0020318,3.2157E-21,0.0018788,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left.STL,,Link3-1,Origin_Back_Left_Rocker,Axis_Back_Left_Rocker,Back_Left_Rocker,continuous,-0.15651,0.20097,0.003175,0,0,0,base_link,0,1,0,,,,,,,,,,,,
Back_Left_Rear,1.3878E-17,0.021778,-1.3878E-17,0,0,0,0.84556,0.001557,7.9263E-20,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left_Rear.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left_Rear.STL,,Link7-1,Origin_Back_Left_Rear_Wheel,Axis_Back_Left_Rear_Wheel,Back_Left_Rear_Wheel,continuous,-0.1016,0.01465,0,0,0,0,Back_Left,0,-1,0,,,,,,,,,,,,
Back_Left_Center,-2.7756E-17,0.021778,-1.1102E-16,0,0,0,0.84556,0.001557,-1.4308E-19,-3.8952E-11,0.0028888,-2.8717E-09,0.001557,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left_Center.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Back_Left_Center.STL,,Link8-1,Origin_Back_Left_Center_Wheel,Axis_Back_Left_Center_Wheel,Back_Left_Center_Wheel,continuous,0.1016,0.01465,0,0,0,0,Back_Left,0,-1,0,,,,,,,,,,,,
Battery,-0.14249,-0.025146,0.037465,0,0,0,4.2741,0.016268,4.3801E-18,2.4187E-19,0.030927,-6.5834E-19,0.043196,0,0,0,0,0,0,package://urdf_Myool/meshes/Battery.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_Myool/meshes/Battery.STL,,Link10-1,Origin_Battery_Box,,Battery_Box,fixed,0.097493,0.025146,0.00635,0,0,0,base_link,0,0,0,,,,,,,,,,,,
